17,37,28,2.007
72,136,109,12.04
69,123,96,22.07
61,136,109,32.104
58,157,115,42.136
65,117,96,52.167
62,127,96,62.201
68,140,94,72.232
69,126,116,82.265
67,131,119,92.293
67,141,114,102.326
75,162,105,112.358
53,126,112,122.393
73,152,123,132.426
64,128,99,142.46
63,138,117,152.492
56,125,94,162.524
66,150,90,172.559
71,128,101,182.592
68,122,118,192.627
70,131,117,202.661
64,137,121,212.693
64,136,114,222.727
71,128,125,232.76
66,137,106,242.793
80,142,115,252.827
50,128,90,262.86
77,114,128,272.893
64,136,100,282.927
79,136,108,292.96
78,114,118,302.994
71,116,121,313.027
73,137,118,323.07
81,132,112,333.105
59,120,123,343.137
61,126,117,353.171
78,115,111,363.205
64,133,120,373.238
63,106,128,383.272
59,105,103,393.304
69,105,124,403.338
79,105,104,413.371
63,120,109,423.404
62,122,116,433.438
79,127,139,443.473
55,126,98,453.506
62,136,104,463.54
70,137,123,473.574
73,125,121,483.608
75,106,134,493.642
66,136,109,503.676
72,124,122,513.709
74,135,99,523.743
63,127,128,533.777
78,111,106,543.809
73,129,117,553.842
79,137,121,563.876
82,127,117,573.91
71,119,119,583.944
71,125,122,593.98
64,135,111,604.01
69,130,121,614.044
54,104,117,624.075
61,137,116,634.109
74,128,97,644.143
65,131,117,654.176
81,125,109,664.212
77,104,90,674.244
83,112,110,684.278
68,110,118,694.312
66,102,115,704.344
61,112,112,714.377
60,111,103,724.41
59,114,97,734.443
68,99,102,744.476
69,104,97,754.509
73,106,107,764.541
65,93,89,774.573
45,107,94,784.607
71,102,97,794.643
68,111,95,804.676
62,97,87,814.709
84,106,101,824.741
64,112,104,834.773
77,105,78,844.807
61,96,83,854.842
53,123,113,864.874
64,113,124,874.906
76,110,98,884.939
62,131,104,894.971
51,111,107,905.005
36,86,100,915.037
57,113,100,925.069
56,103,108,935.102
52,107,97,945.134
69,112,107,955.168
64,118,85,965.202
64,109,94,975.234
74,114,91,985.266
66,110,90,995.298
57,110,87,1005.33
62,90,86,1015.36
60,95,109,1025.4
76,117,106,1035.43
70,108,91,1045.46
65,103,102,1055.5
61,92,96,1065.53
59,84,112,1075.56
67,95,93,1085.6
49,96,96,1095.63
65,109,93,1105.66
42,105,91,1115.69
74,110,119,1125.73
53,92,93,1135.76
62,105,89,1145.79
65,78,106,1155.83
50,90,94,1165.86
66,90,109,1175.89
49,98,103,1185.92
72,93,129,1195.96
67,103,122,1205.99
64,87,108,1216.03
74,76,93,1226.06
65,99,91,1236.09
68,99,101,1246.13
58,94,90,1256.16
58,102,101,1266.19
52,96,96,1276.23
80,92,91,1286.26
56,98,80,1296.29
77,103,108,1306.32
60,106,106,1316.36
66,74,95,1326.39
64,109,122,1336.42
43,81,105,1346.46
57,110,104,1356.49
82,82,117,1366.52
47,116,100,1376.55
62,135,91,1386.59
68,189,82,1396.62
60,201,114,1406.65
62,214,93,1416.69
60,241,106,1426.72
67,213,110,1436.75
56,240,92,1446.79
53,216,100,1456.82
54,250,97,1466.85
64,255,95,1476.89
69,230,89,1486.92
65,255,92,1496.95
84,235,102,1506.99
74,208,97,1517.02
75,250,109,1527.05
64,152,92,1537.09
77,192,109,1547.12
78,157,92,1557.15
67,215,91,1567.18
68,170,96,1577.21
81,145,64,1587.25
69,137,91,1597.28
78,127,81,1607.31
73,154,104,1617.34
77,139,92,1627.38
88,136,87,1637.41
82,114,97,1647.45
84,104,105,1657.48
78,95,96,1667.51
77,90,67,1677.54
76,72,81,1687.58
85,82,79,1697.61
80,72,97,1707.64
56,80,83,1717.68
83,66,103,1727.71
76,53,90,1737.74
63,57,85,1747.78
70,61,102,1757.81
79,62,83,1767.84
65,44,77,1777.87
83,44,86,1787.91
88,62,110,1797.94
88,38,99,1807.98
71,38,92,1818.02
61,34,77,1828.04
72,22,82,1838.08
84,31,82,1848.11
75,43,94,1858.14
53,31,88,1868.17
83,31,80,1878.21
77,19,91,1888.24
74,26,87,1898.28
85,22,91,1908.31
90,23,94,1918.34
68,19,92,1928.37
83,18,95,1938.41
65,16,95,1948.44
80,19,93,1958.47
78,25,91,1968.51
80,13,115,1978.54
86,15,87,1988.58
82,16,91,1998.61
70,12,90,2008.64
67,18,79,2018.67
78,12,92,2028.71
77,11,76,2038.74
82,19,85,2048.77
71,15,91,2058.81
96,8,90,2068.84
81,11,94,2078.87
67,10,80,2088.9
91,6,94,2098.94
74,10,81,2108.97
60,10,88,2119.01
56,11,86,2129.04
79,2,95,2139.07
85,11,88,2149.11
69,5,107,2159.14
88,11,98,2169.18
89,8,97,2179.21
86,5,85,2189.24
89,5,107,2199.28
89,5,104,2209.31
77,6,77,2219.34
74,7,90,2229.38
82,6,102,2239.41
69,9,101,2249.45
83,4,94,2259.48
82,8,104,2269.52
87,6,97,2279.55
86,9,101,2289.58
81,5,114,2299.62
61,3,101,2309.65
73,3,79,2319.68
73,6,105,2329.72
76,1,91,2339.75
73,2,113,2349.78
62,2,87,2359.82
82,9,114,2369.85
78,2,86,2379.88
75,3,100,2389.92
85,1,97,2399.95
87,3,108,2409.98
84,3,109,2420.02
73,0,92,2430.05
78,5,95,2440.08
82,2,102,2450.12
87,6,92,2460.15
76,4,103,2470.18
79,0,99,2480.22
71,3,91,2490.25
77,4,98,2500.28
72,0,71,2510.32
89,0,105,2520.35
67,1,106,2530.39
63,3,89,2540.42
74,1,110,2550.46
70,1,95,2560.49
93,3,97,2570.52
89,6,88,2580.56
82,3,99,2590.59
71,3,95,2600.62
65,3,110,2610.66
86,1,98,2620.7
54,2,70,2630.73
73,2,100,2640.76
83,3,124,2650.8
87,2,88,2660.83
73,0,82,2670.87
75,2,84,2680.9
73,2,91,2690.93
67,4,94,2700.97
78,6,88,2711
92,1,97,2721.04
87,1,111,2731.07
79,2,99,2741.1
61,2,91,2751.14
67,0,95,2761.17
73,4,93,2771.21
68,7,110,2781.25
73,1,103,2791.28
87,1,80,2801.32
67,2,99,2811.35
105,2,105,2821.38
82,3,91,2831.42
67,1,93,2841.45
71,1,95,2851.49
50,3,78,2861.52
78,1,113,2871.55
79,2,104,2881.59
73,1,88,2891.62
82,3,89,2901.66
72,1,89,2911.69
71,0,94,2921.73
71,3,105,2931.76
